0,1732068404,1732068404
1,1732090008,1732090008
2,1732111611,1732111611
3,1732133214,1732133215
4,1732154817,1732154818
5,1732176420,1732176421
6,1732198023,1732198025
7,1732219626,1732219628
8,1732241230,1732241232
9,1732262833,1732262836
10,1732284436,1732282741
11,1732306039,1732304149
12,1732327642,1732325495
13,1732349245,1732347099
14,1732370848,1732368702
15,1732392452,1732390306
16,1732414055,1732411122
17,1732435659,1732432726
18,1732457262,1732454329
19,1732478865,1732475294
20,1732500468,1732496897
21,1732522071,1732518082
22,1732543674,1732539686
23,1732565278,1732561290
24,1732586881,1732582893
25,1732608485,1732603685
26,1732630089,1732625101
27,1732651693,1732646705
28,1732673296,1732668308
29,1732694899,1732689912
30,1732716502,1732711515
31,1732738105,1732733118
32,1732759708,1732753562
33,1732781311,1732775165
34,1732802915,1732796363
35,1732824518,1732817967
36,1732846121,1732839570
37,1732867724,1732860605
38,1732889328,1732882209
39,1732910932,1732903814
40,1732932536,1732925418
41,1732954140,1732947022
42,1732975744,1732967665
43,1732997347,1732989268
44,1733018950,1733010506
45,1733040553,1733032109
46,1733062157,1733053320
47,1733083761,1733074924
48,1733105365,1733096086
49,1733126968,1733117689
50,1733148571,1733139292
51,1733170174,1733160896
52,1733191778,1733181641
53,1733213381,1733203245
54,1733234984,1733224848
55,1733256587,1733245877
56,1733278190,1733267481
57,1733299793,1733289084
58,1733321396,1733310687
59,1733342999,1733332291
60,1733364603,1733353895
61,1733386206,1733375498
62,1733407810,1733397102
63,1733429413,1733418706
64,1733451016,1733440309
65,1733472620,1733461913
66,1733494223,1733481254
67,1733515827,1733502858
68,1733537430,1733524462
69,1733559033,1733546065
70,1733580636,1733566828
71,1733602239,1733588217
72,1733623842,1733609821
73,1733645445,1733631424
74,1733667049,1733653028
75,1733688652,1733674632
76,1733710255,1733696235
77,1733731858,1733717838
78,1733753462,1733739442
79,1733775066,1733761047
80,1733796669,1733782650
81,1733818272,1733804253
82,1733839875,1733825857
83,1733861479,1733847461
84,1733883083,1733866625
85,1733904686,1733888015
86,1733926289,1733909618
87,1733947892,1733931222
88,1733969496,1733952826
89,1733991100,1733974430
90,1734012704,1733994998
91,1734034307,1734016601
92,1734055910,1734037801
93,1734077513,1734059404
94,1734099116,1734081007
95,1734120720,1734102611
96,1734142324,1734124216
97,1734163927,1734145819
98,1734185530,1734167422
99,1734207133,1734189026
100,1734228736,1734210629
101,1734250339,1734232232
102,1734271942,1734253836
103,1734293545,1734273368
104,1734315149,1734294972
105,1734336752,1734316575
106,1734358355,1734338179
107,1734379958,1734359782
108,1734401561,1734381385
109,1734423164,1734402988
110,1734444768,1734424593
111,1734466371,1734446196
112,1734487974,1734467799
113,1734509578,1734489404
114,1734531181,1734511007
115,1734552785,1734532611
116,1734574388,1734551688
117,1734595992,1734573292
118,1734617595,1734594896
119,1734639198,1734615909
120,1734660802,1734637513
121,1734682405,1734659117
122,1734704008,1734680720
123,1734725612,1734702324
