0,1732068044,1732068044,0,
1,1732089648,1732089648,0,0
2,1732111252,1732111253,-1,-1
3,1732132855,1732132384,471,472
4,1732154458,1732153987,471,0
5,1732176061,1732175218,843,372
6,1732197665,1732196822,843,0
7,1732219268,1732218425,843,0
8,1732240872,1732240030,842,-1
9,1732262476,1732261634,842,0
10,1732284080,1732283238,842,0
11,1732305683,1732304841,842,0
12,1732327286,1732326444,842,0
13,1732348889,1732348048,841,-1
14,1732370492,1732369651,841,0
15,1732392096,1732391255,841,0
16,1732413700,1732412859,841,0
17,1732435303,1732434462,841,0
18,1732456907,1732456066,841,0
19,1732478510,1732477670,840,-1
20,1732500113,1732499273,840,0
21,1732521716,1732520876,840,0
22,1732543319,1732539210,4109,3269
23,1732564924,1732560625,4299,190
24,1732586527,1732582228,4299,0
25,1732608130,1732603831,4299,0
26,1732629733,1732625434,4299,0
27,1732651336,1732647038,4298,-1
28,1732672939,1732668641,4298,0
29,1732694543,1732690245,4298,0
30,1732716147,1732711849,4298,0
31,1732737750,1732733452,4298,0
32,1732759353,1732755055,4298,0
33,1732780956,1732774772,6184,1886
34,1732802560,1732796376,6184,0
35,1732824163,1732817588,6575,391
