box_number,correction_factor
2,198.672131147541
3,193.38235294117646
4,190.0737704918033
5,189.55737704918033
6,185.90740740740742
7,190.88524590163934
8,196.70491803278688
9,203.36885245901638
10,123.19565217391305
11,165.3695652173913
12,129.06521739130434
13,103.91304347826087
14,115.93478260869566
15,134.66666666666666
16,133.2688172043011
17,128.39240506329114
18,274.0
